1/9/2019,CVLY,23,USD
1/9/2019,CWBC,10.1,USD
1/9/2019,EBMT,16.51,USD
1/9/2019,ENFC,22.25,USD
1/9/2019,FFIN,60.35,USD
1/9/2019,FISI,27.26,USD
1/9/2019,FNB,10.71,USD
1/9/2019,FNWB,15.52,USD
1/9/2019,FRBA,11.8,USD
1/9/2019,FRBK,6.3,USD
1/9/2019,FUNC,17.04,USD
1/9/2019,GCBC,30.94999966,USD
1/9/2019,HIFS,206.3299986,USD
1/9/2019,KRNY,13.01,USD
1/9/2019,LOB,16.06,USD
1/9/2019,MSL,11.13,USD
1/9/2019,NCOM,38.18,USD
1/9/2019,NKSH,38.4,USD
1/9/2019,ORRF,19.57,USD
1/9/2019,PBHC,14.25,USD
1/9/2019,PBIP US,18,USD
1/9/2019,SASR,33.47,USD
1/9/2019,SBBX,21.54,USD
1/9/2019,SMBK,17.5,USD
1/9/2019,SMMF,20.09,USD
1/9/2019,SVBI,8.24,USD
1/9/2019,SYBT,34.22,USD
1/9/2019,TCFC,29.89,USD
1/9/2019,TSC,20.61,USD
1/9/2019,VBTX,22.26,USD
1/10/2019,ACBI,17.86,USD
1/10/2019,AROW,32.8,USD
1/10/2019,ASRV,4.07,USD
1/10/2019,BWFG,28.9,USD
1/10/2019,CVCY,18.58,USD
1/10/2019,CVLY,22.49,USD
1/10/2019,CWBC,10.05,USD
1/10/2019,EBMT,16.89,USD
1/10/2019,ENFC,22.24,USD
1/10/2019,FFIN,60.21,USD
1/10/2019,FISI,27.01,USD
1/10/2019,FNB,10.66,USD
1/10/2019,FNWB,15.34,USD
1/10/2019,FRBA,11.53,USD
1/10/2019,FRBK,6.23,USD
1/10/2019,FUNC,16.51,USD
1/10/2019,GCBC,30.72000013,USD
1/10/2019,HIFS,202.839998,USD
1/10/2019,KRNY,13.07,USD
1/10/2019,LOB,15.67,USD
1/10/2019,MSL,11.03,USD
1/10/2019,NCOM,37.7,USD
1/10/2019,NKSH,36.8,USD
1/10/2019,ORRF,19.29,USD
1/10/2019,PBHC,14.3,USD
1/10/2019,PBIP US,17.75,USD
1/10/2019,SASR,33.25,USD
1/10/2019,SBBX,21.22,USD
1/10/2019,SMBK,18.01,USD
1/10/2019,SMMF,19.95,USD
1/10/2019,SVBI,7.93,USD
